Freq[Hz]     dBSPL  Phase[Deg]
6834.38      0.174    -4.617
6933.79      0.169    -4.554
7034.64      0.164    -4.492
7136.96      0.159    -4.430
7240.77      0.155    -4.369
7346.09      0.150    -4.308
7452.94      0.146    -4.248
7561.35      0.141    -4.189
7671.33      0.137    -4.130
7782.91      0.133    -4.072
7896.12      0.129    -4.015
8010.97      0.125    -3.958
8127.49      0.122    -3.902
8245.71      0.118    -3.846
8365.65      0.115    -3.791
8487.33      0.111    -3.737
8610.78      0.108    -3.683
8736.03      0.105    -3.630
8863.09      0.101    -3.577
8992.01      0.098    -3.525
9122.80      0.095    -3.474
9255.50      0.092    -3.423
9390.12      0.090    -3.373
9526.70      0.087    -3.323
9665.27      0.084    -3.274
9805.86      0.082    -3.226
9948.49      0.079    -3.178
10093.2      0.077    -3.130
10240.0      0.074    -3.084
10388.9      0.072    -3.037
10540.1      0.070    -2.992
10693.4      0.068    -2.946
10848.9      0.066    -2.902
11006.7      0.063    -2.857
11166.8      0.061    -2.814
11329.2      0.060    -2.771
11494.0      0.058    -2.728
11661.2      0.056    -2.686
11830.8      0.054    -2.644
12002.9      0.052    -2.603
12177.5      0.051    -2.562
12354.6      0.049    -2.522
12534.3      0.047    -2.482
12716.6      0.046    -2.443
12901.6      0.044    -2.404
13089.2      0.043    -2.366
13279.6      0.041    -2.328
13472.8      0.040    -2.290
13668.8      0.039    -2.253
13867.6      0.037    -2.216
14069.3      0.036    -2.180
14273.9      0.035    -2.144
14481.5      0.034    -2.109
14692.2      0.033    -2.074
14905.9      0.031    -2.039
15122.7      0.030    -2.005
15342.7      0.029    -1.971
15565.8      0.028    -1.937
15792.2      0.027    -1.904
16021.9      0.026    -1.871
16255.0      0.025    -1.839
16491.4      0.024    -1.807
16731.3      0.023    -1.775
16974.7      0.023    -1.744
17221.6      0.022    -1.713
17472.1      0.021    -1.682
17726.2      0.020    -1.652
17984.0      0.019    -1.621
18245.6      0.019    -1.592
18511.0      0.018    -1.562
18780.2      0.017    -1.533
19053.4      0.016    -1.504
19330.5      0.016    -1.475
19611.7      0.015    -1.447
19897.0      0.015    -1.419
20186.4      0.014    -1.391
20480.0      0.013    -1.364
20777.9      0.013    -1.337
21080.1      0.012    -1.310
21386.7      0.012    -1.283
21697.8      0.011    -1.256
22013.4      0.011    -1.230
22333.6      0.010    -1.204
22658.4      0.010    -1.178
22988.0      0.009    -1.152
23322.4      0.009    -1.127
23661.6      0.008    -1.102
24005.8      0.008    -1.077
24355.0      0.007    -1.052
24709.2      0.007    -1.027
